"nombre","latitud","longitud"
"Amazonas","-4.21528","-69.94056"
"Antioquia","6.2518401","-75.563591"
"Arauca","7.0847101","-70.759079"
"Atlántico","10.9685402","-74.7813187"
"Bogotá D.C.","4.6097102","-74.081749"
"Bolívar","10.3997202","-75.5144424"
"Boyacá","5.5352802","-73.3677826"
"Caldas","5.0688901","-75.5173798"
"Caquetá","1.61438","-75.6062317"
"Casanare","5.33775","-72.3958588"
"Cauca","2.43823","-76.6131592"
"Cesar","10.4631395","-73.2532196"
"Chocó","5.6918802","-76.6583481"
"Colombia",NULL,NULL
"Córdoba","8.7479801","-75.8814316"
"Cundinamarca","5.0220799","-74.0048065"
"Guainía","3.867","-67.917"
"Guaviare","2.57286","-72.64591"
"Huila","2.9273","-75.2818909"
"La Guajira","11.5444403","-72.907289"
"Magdalena","11.2407904","-74.1990433"
"Meta","4.1420002","-73.6266403"
"Nariño","1.2136101","-77.2811127"
"Norte De Santander","7.8939099","-72.5078201"
"Otros Paises",NULL,NULL
"Putumayo","1.14933","-76.64661"
"Quindío","45.338898","-75.6811066"
"Risaralda","48.133302","-75.6961136"
"San Andrés Providencia y Santa Catalina","12.5847197","-81.7005615"
"Santander","7.1253901","-73.1197968"
"Sucre","9.3047199","-75.3977814"
"Tolima","4.43889","-75.2322235"
"Valle del Cauca","3.4372201","-76.5224991"
"Vaupés","1.25778","-70.23472"
"Vichada","6.18903","-67.48588"
