municipio_entrega;municipio_entrega_original
0;Abejorral
1;Abrego
2;Abriaquí
3;Acacías
4;Acandí
5;Acevedo
6;Achí
7;Agrado
9;Agua de Dios
10;Aguachica
11;Aguada
8;Aguadas
12;Aguazul
13;Agustín Codazzi
14;Aipe
16;Albán
15;Albania
17;Alcalá
18;Aldana
19;Alejandría
20;Algarrobo
21;Algeciras
22;Almaguer
23;Almeida
24;Alpujarra
25;Altamira
26;Alto Baudo
27;Altos del Rosario
28;Alvarado
29;Amagá
30;Amalfi
31;Ambalema
32;Anapoima
33;Ancuyá
34;Andalucía
35;Andes
36;Angelópolis
37;Angostura
38;Anolaima
39;Anorí
40;Anserma
41;Ansermanuevo
42;Anza
43;Anzoátegui
46;Apartadó
44;Apía
45;Apulo
47;Aquitania
48;Aracataca
49;Aranzazu
50;Aratoca
51;Arauca
52;Arauquita
53;Arbeláez
54;Arboleda
55;Arboledas
56;Arboletes
57;Arcabuco
58;Arenal
59;Argelia
60;Ariguaní/El Dificil
61;Arjona
62;Armenia
63;Armero
64;Arroyohondo
65;Astrea
66;Ataco
1048;Atrato
67;Ayapel
68;Bagadó
69;Bahía Solano
70;Bajo Baudó/Pizarro
71;Balboa
72;Baranoa
73;Baraya
74;Barbacoas
75;Barbosa
76;Barichara
77;Barranca de Upía
79;Barrancabermeja
78;Barrancas
80;Barranco de Loba
82;Barranco Minas
81;Barranquilla
83;Becerril
84;Belalcázar
85;Belén
89;Belén de Los Andaquies
90;Belén de Umbría
91;Bello
86;Belmira
87;Beltrán
88;Berbeo
92;Berruecos
93;Betania
96;Betéitiva
94;Betulia
95;Bituima
97;Boavita
98;Bocas De Satinga
99;Bochalema
100;Bogotá D.C.
101;Bojacá
102;Bojaya
103;Bolívar
105;Bolivia
104;Bosconia
106;Boyacá
107;Briceño
108;Bucaramanga
109;Bucarasica
110;Buenaventura
111;Buenavista
112;Buenos Aires
113;Buesaco
114;Bugalagrande
115;Buriticá
116;Busbanzá
117;Cabrera
251;Cabuyaro
252;Cacahual
162;Cáceres
118;Cachipay
119;Cachirá
120;Cácota
248;Caicedo
121;Caicedonia
122;Caimito
249;Cajamarca
123;Cajibío
124;Cajicá
125;Calamar
126;Calarca
127;Caldas
128;Caldono
129;Cali
130;California
131;Calima
132;Caloto
133;Campamento
134;Campo de la Cruz
135;Campoalegre
136;Campohermoso
137;Canalete
139;Candelaria
138;Cantagallo
140;Cañasgordas
141;Caparrapí
142;Capitanejo
143;Caqueza
144;Caracolí
145;Caramanta
146;Carcasí
147;Carepa
148;Carmen de Apicalá
149;Carmen de Carupa
150;Carmen del Darien
151;Carolina del Príncipe
152;Cartagena
153;Cartagena del Chairá
154;Cartago
155;Caruru
156;Casabianca
157;Castilla La Nueva
250;Caucasia
158;Cepitá
159;Cereté
160;Cerinza
161;Cerrito
163;Cerro San Antonio
164;Cértegui
165;Chachagüí
166;Chaguaní
167;Chalán
196;Chameza
168;Chaparral
169;Charalá
170;Charta
171;Chía
172;Chibolo
197;Chigorodó
173;Chima
174;Chimá
175;Chimichagua
176;Chinácota
177;Chinavita
179;Chinchiná
178;Chinú
182;Chipaque
183;Chipatá
180;Chiquinquirá
181;Chíquiza (San Pedro de Iguaque)
184;Chiriguaná
185;Chiscas
186;Chita
187;Chitagá
188;Chitaraque
189;Chivatá
190;Chivor
191;Choachí
192;Chocontá
193;Cicuco
194;Ciénaga
195;Ciénaga de Oro
203;Ciénega
204;Cimitarra
205;Circasia
198;Cisneros
199;Ciudad Bolívar
200;Clemencia
201;Cocorná
202;Coello
206;Cogua
207;Colombia
208;Colón
209;Coloso
212;Cómbita
210;Concepción
211;Concordia
213;Condoto
214;Confines
215;Consaca
216;Contadero
217;Contratación
218;Convención
219;Copacabana
220;Coper
221;Córdoba
222;Corinto
223;Coromoro
224;Corozal
225;Corrales
226;Cota
227;Cotorra
228;Covarachía
229;Coveñas
230;Coyaima
231;Cravo Norte
232;Cuaspud/Carlosama
233;Cubará
247;Cubarral
235;Cucaita
234;Cucunubá
236;Cucutilla
237;Cuítiva
238;Cumaral
239;Cumaribo
240;Cumbal
241;Cumbitara
242;Cunday
243;Curillo
244;Curití
245;Curumaní
246;Dabeiba
253;Dagua
254;Dibulla
255;Distracción
256;Dolores
257;Don Matías
258;Dosquebradas
259;Duitama
260;Durania
261;Ebéjico
262;El Águila
310;El Bagre
309;El Banco
263;El Cairo
264;El Calvario
265;El Cantón del San Pablo
266;El Carmen
267;El Carmen de Atrato
268;El Carmen de Bolívar
269;El Carmen de Chucurí
270;El Carmen de Viboral
271;El Castillo
272;El Cerrito
273;El Charco
274;El Cocuy
275;El Colegio
276;El Copey
277;El Difícil
278;El Doncello
279;El Dorado
280;El Dovio
281;El Encanto
282;El Espinal
283;El Espino
284;El Guacamayo
285;El Guamo
286;El Líbano
287;El Litoral del San Juan
289;El Molino
288;El Paso
290;El Paujil
291;El Peñol
292;El Peñón
294;El Piñon
293;El Pital
296;El Playón
295;El Retén
297;El Retiro
300;El Retorno
