municipios_ejecucion;municipios_ejecucion_original
0;Abejorral
1;Abrego
2;Abriaquí
3;Acacías
4;Acandí
5;Acevedo
6;Achí
7;Agrado
9;Agua de Dios
10;Aguachica
11;Aguada
8;Aguadas
12;Aguazul
13;Agustín Codazzi
14;Aipe
16;Albán
15;Albania
17;Alcalá
18;Aldana
19;Alejandría
20;Algarrobo
21;Algeciras
22;Almaguer
23;Almeida
24;Alpujarra
25;Altamira
26;Alto Baudo
27;Altos del Rosario
28;Alvarado
29;Amagá
30;Amalfi
31;Ambalema
32;Anapoima
33;Ancuyá
34;Andalucía
35;Andes
36;Angelópolis
37;Angostura
38;Anolaima
39;Anorí
40;Anserma
41;Ansermanuevo
42;Anza
43;Anzoátegui
46;Apartadó
44;Apía
45;Apulo
47;Aquitania
48;Aracataca
49;Aranzazu
50;Aratoca
51;Arauca
52;Arauquita
53;Arbeláez
54;Arboleda
55;Arboledas
56;Arboletes
57;Arcabuco
58;Arenal
59;Argelia
60;Ariguaní/El Dificil
61;Arjona
62;Armenia
63;Armero
64;Arroyohondo
65;Astrea
66;Ataco
1048;Atrato
67;Ayapel
68;Bagadó
69;Bahía Solano
70;Bajo Baudó/Pizarro
71;Balboa
72;Baranoa
73;Baraya
74;Barbacoas
75;Barbosa
76;Barichara
77;Barranca de Upía
79;Barrancabermeja
78;Barrancas
80;Barranco de Loba
82;Barranco Minas
81;Barranquilla
83;Becerril
84;Belalcázar
85;Belén
89;Belén de Bajirá
90;Belén de Los Andaquies
91;Belén de Umbría
92;Bello
86;Belmira
87;Beltrán
88;Berbeo
93;Berruecos
94;Betania
97;Betéitiva
95;Betulia
96;Bituima
98;Boavita
99;Bocas De Satinga
100;Bochalema
101;Bogotá D.C.
102;Bojacá
103;Bojaya
104;Bolívar
106;Bolivia
105;Bosconia
107;Boyacá
108;Briceño
109;Bucaramanga
110;Bucarasica
111;Buenaventura
112;Buenavista
113;Buenos Aires
114;Buesaco
115;Bugalagrande
116;Buriticá
117;Busbanzá
118;Cabrera
252;Cabuyaro
253;Cacahual
163;Cáceres
119;Cachipay
120;Cachirá
121;Cácota
249;Caicedo
122;Caicedonia
123;Caimito
250;Cajamarca
124;Cajibío
125;Cajicá
126;Calamar
127;Calarca
128;Caldas
129;Caldono
130;Cali
131;California
132;Calima
133;Caloto
134;Campamento
135;Campo de la Cruz
136;Campoalegre
137;Campohermoso
138;Canalete
140;Candelaria
139;Cantagallo
141;Cañasgordas
142;Caparrapí
143;Capitanejo
144;Caqueza
145;Caracolí
146;Caramanta
147;Carcasí
148;Carepa
149;Carmen de Apicalá
150;Carmen de Carupa
151;Carmen del Darien
152;Carolina del Príncipe
153;Cartagena
154;Cartagena del Chairá
155;Cartago
156;Caruru
157;Casabianca
158;Castilla La Nueva
251;Caucasia
159;Cepitá
160;Cereté
161;Cerinza
162;Cerrito
164;Cerro San Antonio
165;Cértegui
166;Chachagüí
167;Chaguaní
168;Chalán
197;Chameza
169;Chaparral
170;Charalá
171;Charta
172;Chía
173;Chibolo
198;Chigorodó
174;Chima
175;Chimá
176;Chimichagua
177;Chinácota
178;Chinavita
180;Chinchiná
179;Chinú
183;Chipaque
184;Chipatá
181;Chiquinquirá
182;Chíquiza (San Pedro de Iguaque)
185;Chiriguaná
186;Chiscas
187;Chita
188;Chitagá
189;Chitaraque
190;Chivatá
191;Chivor
192;Choachí
193;Chocontá
194;Cicuco
195;Ciénaga
196;Ciénaga de Oro
204;Ciénega
205;Cimitarra
206;Circasia
199;Cisneros
200;Ciudad Bolívar
201;Clemencia
202;Cocorná
203;Coello
207;Cogua
208;Colombia
209;Colón
210;Coloso
213;Cómbita
211;Concepción
212;Concordia
214;Condoto
215;Confines
216;Consaca
217;Contadero
218;Contratación
219;Convención
220;Copacabana
221;Coper
222;Córdoba
223;Corinto
224;Coromoro
225;Corozal
226;Corrales
227;Cota
228;Cotorra
229;Covarachía
230;Coveñas
231;Coyaima
232;Cravo Norte
233;Cuaspud/Carlosama
234;Cubará
248;Cubarral
236;Cucaita
235;Cucunubá
237;Cucutilla
238;Cuítiva
239;Cumaral
240;Cumaribo
241;Cumbal
242;Cumbitara
243;Cunday
244;Curillo
245;Curití
246;Curumaní
247;Dabeiba
254;Dagua
255;Dibulla
256;Distracción
257;Dolores
258;Don Matías
259;Dosquebradas
260;Duitama
261;Durania
262;Ebéjico
263;El Águila
311;El Bagre
310;El Banco
264;El Cairo
265;El Calvario
266;El Cantón del San Pablo
267;El Carmen
268;El Carmen de Atrato
269;El Carmen de Bolívar
270;El Carmen de Chucurí
271;El Carmen de Viboral
272;El Castillo
273;El Cerrito
274;El Charco
275;El Cocuy
276;El Colegio
277;El Copey
278;El Difícil
279;El Doncello
280;El Dorado
281;El Dovio
282;El Encanto
283;El Espinal
284;El Espino
285;El Guacamayo
286;El Guamo
287;El Líbano
288;El Litoral del San Juan
290;El Molino
289;El Paso
291;El Paujil
292;El Peñol
293;El Peñón
295;El Piñon
294;El Pital
297;El Playón
296;El Retén
