"orden_entidad","orden_entidad_original"
"0","DISTRITO CAPITAL"
"1","NACIONAL CENTRALIZADO"
"2","NACIONAL DESCENTRALIZADO"
"3","No Definido"
"4","TERRITORIAL DEPARTAMENTAL CENTRALIZADO"
"5","TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO"
"6","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1"
"7","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2"
"8","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3"
"9","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4"
"10","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5"
"11","TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6"
