municipio_obtencion;municipio_obtencion_original
0;Abejorral
1;Abrego
2;Abriaquí
3;Acacías
4;Acandí
5;Acevedo
6;Achí
7;Agrado
9;Agua de Dios
10;Aguachica
11;Aguada
8;Aguadas
12;Aguazul
13;Agustín Codazzi
14;Aipe
16;Albán
15;Albania
17;Alcalá
18;Aldana
19;Alejandría
20;Algarrobo
21;Algeciras
22;Almaguer
23;Almeida
24;Alpujarra
25;Altamira
26;Alto Baudo
27;Altos del Rosario
28;Alvarado
29;Amagá
30;Amalfi
31;Ambalema
32;Anapoima
33;Ancuyá
34;Andalucía
35;Andes
36;Angelópolis
37;Angostura
38;Anolaima
39;Anorí
40;Anserma
41;Ansermanuevo
42;Anza
43;Anzoátegui
46;Apartadó
44;Apía
45;Apulo
47;Aquitania
48;Aracataca
49;Aranzazu
50;Aratoca
51;Arauca
52;Arauquita
53;Arbeláez
54;Arboleda
55;Arboledas
56;Arboletes
57;Arcabuco
58;Arenal
59;Argelia
60;Ariguaní/El Dificil
61;Arjona
62;Armenia
63;Armero
64;Arroyohondo
65;Astrea
66;Ataco
1044;Atrato
67;Ayapel
68;Bagadó
69;Bahía Solano
70;Bajo Baudó/Pizarro
71;Balboa
72;Baranoa
73;Baraya
74;Barbacoas
75;Barbosa
76;Barichara
77;Barranca de Upía
79;Barrancabermeja
78;Barrancas
80;Barranco de Loba
82;Barranco Minas
81;Barranquilla
83;Becerril
84;Belalcázar
85;Belén
89;Belén de Los Andaquies
90;Belén de Umbría
91;Bello
86;Belmira
87;Beltrán
88;Berbeo
92;Berruecos
93;Betania
96;Betéitiva
94;Betulia
95;Bituima
97;Boavita
98;Bocas De Satinga
99;Bochalema
100;Bogotá D.C.
101;Bojacá
102;Bojaya
103;Bolívar
104;Bosconia
105;Boyacá
106;Briceño
107;Bucaramanga
108;Bucarasica
109;Buenaventura
110;Buenavista
111;Buenos Aires
112;Buesaco
113;Bugalagrande
114;Buriticá
115;Busbanzá
116;Cabrera
250;Cabuyaro
251;Cacahual
161;Cáceres
117;Cachipay
118;Cachirá
119;Cácota
247;Caicedo
120;Caicedonia
121;Caimito
248;Cajamarca
122;Cajibío
123;Cajicá
124;Calamar
125;Calarca
126;Caldas
127;Caldono
128;Cali
129;California
130;Calima
131;Caloto
132;Campamento
133;Campo de la Cruz
134;Campoalegre
135;Campohermoso
136;Canalete
138;Candelaria
137;Cantagallo
139;Cañasgordas
140;Caparrapí
141;Capitanejo
142;Caqueza
143;Caracolí
144;Caramanta
145;Carcasí
146;Carepa
147;Carmen de Apicalá
148;Carmen de Carupa
149;Carmen del Darien
150;Carolina del Príncipe
151;Cartagena
152;Cartagena del Chairá
153;Cartago
154;Caruru
155;Casabianca
156;Castilla La Nueva
249;Caucasia
157;Cepitá
158;Cereté
159;Cerinza
160;Cerrito
162;Cerro San Antonio
163;Cértegui
164;Chachagüí
165;Chaguaní
166;Chalán
195;Chameza
167;Chaparral
168;Charalá
169;Charta
170;Chía
171;Chibolo
196;Chigorodó
172;Chima
173;Chimá
174;Chimichagua
175;Chinácota
176;Chinavita
178;Chinchiná
177;Chinú
181;Chipaque
182;Chipatá
179;Chiquinquirá
180;Chíquiza (San Pedro de Iguaque)
183;Chiriguaná
184;Chiscas
185;Chita
186;Chitagá
187;Chitaraque
188;Chivatá
189;Chivor
190;Choachí
191;Chocontá
192;Cicuco
193;Ciénaga
194;Ciénaga de Oro
202;Ciénega
203;Cimitarra
204;Circasia
197;Cisneros
198;Ciudad Bolívar
199;Clemencia
200;Cocorná
201;Coello
205;Cogua
206;Colombia
207;Colón
208;Coloso
211;Cómbita
209;Concepción
210;Concordia
212;Condoto
213;Confines
214;Consaca
215;Contadero
216;Contratación
217;Convención
218;Copacabana
219;Coper
220;Córdoba
221;Corinto
222;Coromoro
223;Corozal
224;Corrales
225;Cota
226;Cotorra
227;Covarachía
228;Coveñas
229;Coyaima
230;Cravo Norte
231;Cuaspud/Carlosama
232;Cubará
246;Cubarral
234;Cucaita
233;Cucunubá
235;Cucutilla
236;Cuítiva
237;Cumaral
238;Cumaribo
239;Cumbal
240;Cumbitara
241;Cunday
242;Curillo
243;Curití
244;Curumaní
245;Dabeiba
252;Dagua
253;Dibulla
254;Distracción
255;Dolores
256;Don Matías
257;Dosquebradas
258;Duitama
259;Durania
260;Ebéjico
261;El Águila
309;El Bagre
308;El Banco
262;El Cairo
263;El Calvario
264;El Cantón del San Pablo
265;El Carmen
266;El Carmen de Atrato
267;El Carmen de Bolívar
268;El Carmen de Chucurí
269;El Carmen de Viboral
270;El Castillo
271;El Cerrito
272;El Charco
273;El Cocuy
274;El Colegio
275;El Copey
276;El Difícil
277;El Doncello
278;El Dorado
279;El Dovio
280;El Encanto
281;El Espinal
282;El Espino
283;El Guacamayo
284;El Guamo
285;El Líbano
286;El Litoral del San Juan
288;El Molino
287;El Paso
289;El Paujil
290;El Peñol
291;El Peñón
293;El Piñon
292;El Pital
295;El Playón
294;El Retén
296;El Retiro
299;El Retorno
297;El Roble
